Asset Tag,Asset Type,Asset Type Description,Site,Location,Serial No,Manufacturer,Model,Category,Category,Category,Category,Category,Category,Category,Category,Grade,Grade,Grade,Grade,Physics,Chemistry,Biology,Science,Math
207,Acer Aspire One - Model #ZG5,,Stephens Hall,STPH 120,,Acer,ZG5,,,,,,,,,,,,,,,,,
281,TI-NSPIRE Keyboard Set,,Stephens Hall,STPH 120,,Texas Instruments,,,,,,,,,,,,,,,,,,
1100,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1101,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1102,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1103,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1104,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1105,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1106,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Stephens Hall,STPH 120,,Vernier Software & Technology,SVIS-FIBER,,,,,,,,,,,,,,,,,
1107,Super Pulley Attachment,An attachment designed to convert a Vernier Photogate into a Smart Pulley.,Stephens Hall,STPH 120,,Vernier Software & Technology,SPA,,,,,,,,,,,,,,,,,
1108,Super Pulley Attachment,An attachment designed to convert a Vernier Photogate into a Smart Pulley.,Stephens Hall,STPH 120,,Vernier Software & Technology,SPA,,,,,,,,,,,,,,,,,
1109,Super Pulley Attachment,An attachment designed to convert a Vernier Photogate into a Smart Pulley.,Stephens Hall,STPH 120,,Vernier Software & Technology,SPA,,,,,,,,,,,,,,,,,
1110,Super Pulley Attachment,An attachment designed to convert a Vernier Photogate into a Smart Pulley.,Stephens Hall,STPH 120,,Vernier Software & Technology,SPA,,,,,,,,,,,,,,,,,
1111,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1112,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1113,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1114,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1115,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1116,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1117,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1118,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Stephens Hall,STPH 120,,Vernier Software & Technology,VP-BTA,,,,,,,,,,,,,,,,,
1119,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1120,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1121,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1122,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1123,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1124,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1125,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
1126,Magnetic Field Sensor,A probe that is used with Vernier LabQuest that measures a vector component of the magnetic field near the sensor tip.,Stephens Hall,STPH 120,,Vernier Software & Technology,MG-BTA,,,,,,,,,,,,,,,,,
