,Asset Type,Description,Manufacturer,Model,Chemistry,Biology,Health Science Physiology,Math,Physics,Physical Earth Science,K-5,6-8,9-12,Models & Kits,Classroom Manipulative,Equipment,Classroom Technology,Tech.,Books & CD,Calculators
11,3B Skeleton,,3B,,,x,x,,,,,,,x,,,,,,
12,3B Torso,,3B,,,x,x,,,,,,,x,,,,,,
13,3D Circulatory System Model,,Somso,,,x,x,,,,,,,x,,,,,,
14,3D Endocrine System Model,,Hubbard,,,x,x,,,,,,,x,,,,,,
15,3D Molecular Designs Water Kit,,3D Molecular Designs,,x,x,,,,,,,,x,,,,,,
24,Acid Degestion Vessel 45 mL,#4744,Parr,,x,,x,,,,,,,x,,,,,,
25,Acid Digestion Vessel 23mL,#4749,Parr,,x,,x,,,,,,,x,,,,,,
26,Acid Indigestion Kit,MASTERS,Carolina,,x,,x,,,,,,,x,,,,,,
33,Amino Acid Starter Kit,,3D Molecular Designs,,x,x,,,,,,,,x,,,,,,
36,Analyzing Population Growth,,Carolina,,,,,x,,,,,,x,,,,,,
38,Animal Cell Model,, ,,,x,,,,,,,,x,,,,,,
47,Atomic Model Kit,, ,,x,,,,,,,,,x,,,,,,
48,Attaining Equilibrium Kit,MASTERS,Carolina,,x,,,,,,,,,x,,,,,,
51,Basic Transparent Globe,, ,,,,,,,x,,,,x,,,,,,
57,Blding Ecological Pyramids Kit,,Carolina,,,,,,,x,,,,x,,,,,,
58,Blood Cells Model,,Altay,,,x,x,,,,,,,x,,,,,,
60,Book & Model Butterfly,Life Cycle, ,,,x,,,,,,,,x,,,,,x,
61,Book & Model Chicken,, ,,,x,,,,,,,,x,,,,,x,
62,Book & Model Frog,, ,,,x,,,,,,,,x,,,,,x,
63,Book & Model Honey Bees,, ,,,x,,,,,,,,x,,,,,x,
64,Book & Model Lady Bug,, ,,,x,,,,,,,,x,,,,,x,
65,Book & Model Mealworm,Life Cycle, ,,,x,,,,,,,,x,,,,,x,
66,Book & Model Spiders,, ,,,x,,,,,,,,x,,,,,x,
67,Book & Models Ants,, ,,,x,,,,,,,,x,,,,,x,
80,Bright Science Kit,, ,,,,,,,,,,,x,,,,,,
81,Build & Learn Geometry Kit,,Lakeshore,,,,,x,,,,,,x,,,,,,
84,Butterfly Families,In Ricker Mount Display box, ,,,x,,,,,,,,x,,,,,,
100,Changing Over Time Kit,,Carolina,,,,,x,,,,,,x,,,,,,
124,Cycling Through Mitosis Kit,,Carolina,,,x,,,,,,,,x,,,,,,
127,Data & Chance Kit,ELEM,NASCO,,,,,x,,,,,,x,,,,,,
128,"Data Analysis, Stats. & Prob.","Authentic Learning Activities in Middle School Mathematics ""Data Anaysis, Statistics & Probability""",Authentic Learning Activities - Middle School Math,,,,,x,,,,,,x,,,,,,
146,Discovering Acids & Bases,MASTERS,Carolina,,x,,,,,,,,,x,,,,,,
147,Discovering Nucleic Acids Kit,,Carolina,,x,x,,,,,,,,x,,,,,,
149,DNA Discovery Kit,,3D Molecular Designs,,x,x,,,,,,,,x,,,,,,
158,Earth History Model,, ,,,,,,,x,,,,x,,,,,,
159,Earth Model,"Cross section, soft foam", ,,,,,,,x,,,,x,,,,,,
160,Earth Science: A...,,Pencil Point Press,,,,,,,x,,,,x,,,,,,
171,Energizing Cells Kit,,Carolina,,,x,,,,,,,,x,,,,,,
172,Energy Kits,, ,,,,,,x,,,,,x,,,,,,
179,Examining Cell. Transport Kit,,Carolina,,,x,,,,,,,,x,,,,,,
180,Exploring Biotechnology Kit,,Carolina,,x,x,,,x,,,,,x,,,,,,
181,Exploring Nitrogen Cycle Kit,,Carolina,,x,x,,,,,,,,x,,,,,,
184,Eye in Orbit Model,,3B,,,x,x,,,,,,,x,,,,,,
185,Female Genital Model,,Somso,,,x,x,,,,,,,x,,,,,,
186,Female Reprod Activity Model,,Hubbard,,,x,x,,,,,,,x,,,,,,
187,Five Senses Model Kit,, ,,,,,,,x,,,,x,,,,,,
207,Functional Ankle Joint,,Somso,,,x,x,,,,,,,x,,,,,,
208,Functional Knee Joint Model,,3B,,,x,x,,,,,,,x,,,,,,
